Sample_Name	Channel	Global_metrics	Metric	value
GSM8461134	red	SPECIFICITY I	GT Mismatch 1 (PM)	344
GSM8461134	red	SPECIFICITY I	GT Mismatch 2 (MM)	318
GSM8461134	red	SPECIFICITY I	GT Mismatch 2 (PM)	532
GSM8461134	red	SPECIFICITY I	GT Mismatch 3 (MM)	166
GSM8461134	red	SPECIFICITY I	GT Mismatch 3 (PM)	251
GSM8461134	red	SPECIFICITY I	GT Mismatch 4 (MM)	1165
GSM8461134	red	SPECIFICITY I	GT Mismatch 4 (PM)	11515
GSM8461134	red	SPECIFICITY I	GT Mismatch 5 (MM)	269
GSM8461134	red	SPECIFICITY I	GT Mismatch 5 (PM)	6642
GSM8461134	red	SPECIFICITY I	GT Mismatch 6 (MM)	265
GSM8461134	red	SPECIFICITY I	GT Mismatch 6 (PM)	2877
GSM8461134	red	SPECIFICITY II	Specificity 1	13038
GSM8461134	red	SPECIFICITY II	Specificity 2	6543
GSM8461134	red	SPECIFICITY II	Specificity 3	5743
GSM8461134	red	STAINING	Biotin (Bkg)	461
GSM8461134	red	STAINING	Biotin (High)	331
GSM8461134	red	STAINING	Biotin(5K)	NA
GSM8461134	red	STAINING	DNP (Bkg)	495
GSM8461134	red	STAINING	DNP (High)	22298
GSM8461134	red	STAINING	DNP(20K)	NA
GSM8461134	red	TARGET REMOVAL	Target Removal 1	935
GSM8461134	red	TARGET REMOVAL	Target Removal 2	693
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-C1	5403
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-C2	10304
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-C3	338
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-C4	434
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-C5	287
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-U1	323
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-U2	718
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-U3	195
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-U4	306
GSM8461135	green	BISULFITE CONVERSION I	BS Conversion I-U5	359
GSM8461135	green	BISULFITE CONVERSION II	BS Conversion II-1	818
GSM8461135	green	BISULFITE CONVERSION II	BS Conversion II-2	394
GSM8461135	green	BISULFITE CONVERSION II	BS Conversion II-3	1055
GSM8461135	green	BISULFITE CONVERSION II	BS Conversion II-4	738
GSM8461135	green	EXTENSION	Extension (A)	593
GSM8461135	green	EXTENSION	Extension (C)	22470
GSM8461135	green	EXTENSION	Extension (G)	19082
GSM8461135	green	EXTENSION	Extension (T)	472
GSM8461135	green	HYBRIDIZATION	Hyb (High)	20695
GSM8461135	green	HYBRIDIZATION	Hyb (Low)	6383
GSM8461135	green	HYBRIDIZATION	Hyb (Medium)	12664
GSM8461135	green	NON-POLYMORPHIC	NP (A)	521
GSM8461135	green	NON-POLYMORPHIC	NP (C)	7836
GSM8461135	green	NON-POLYMORPHIC	NP (G)	4635
GSM8461135	green	NON-POLYMORPHIC	NP (G) 1	545
GSM8461135	green	NON-POLYMORPHIC	NP (G) 2	512
GSM8461135	green	NON-POLYMORPHIC	NP (G) 3	404
GSM8461135	green	NON-POLYMORPHIC	NP (G) 4	307
