Sample	DetectionRate	Log2MethIntensity	Log2UnmethIntensity	Restoration	Staining_Green	Staining_Red	Extension_Green	Extension_Red	Hybridization_High/Medium	Hybridization_Medium/Low	Target_Removal_1	Target_Removal_2	Bisulfite_Conversion_I_Green	Bisulfite_Conversion_I_Green_(Bkg)	Bisulfite_Conversion_I_Red	Bisulfite_Conversion_I_Red_(Bkg)	Bisulfite_Conversion_II	Bisulfite_Conversion_II_(Bkg)	Specificity_I_Green	Specificity_I_Red	Specificity_II	Specificity_II_(Bkg)	Non-polymorphic_Green	Non-polymorphic_Red
GSM8461145_207716530127_R04C01	0.9958	10.161	10.271	6.75536959553696	104.928853754941	30.5400696864112	40.8205128205128	27.2584053794428	1.7646494414365	1.98382053025153	7.40702479338843	5.43181818181818	4.75983436853002	7.42236024844721	9.26966292134832	7.56741573033708	4.23111612175874	4.04171364148816	3.23111111111111	1.94267515923567	9.79493670886076	9.07594936708861	5.04319654427646	10.7063655030801
GSM8461146_207716530127_R05C01	0.9996	11.245	11.569	6.37668408028595	97.1035714285714	43.530534351145	35.0941915227629	26.6183628318584	1.68340995132504	2.04705231109881	7.51446280991736	6.11260504201681	9.06892230576441	4.55764411027569	4.32490013315579	2.59920106524634	4.28912875867386	2.8041634541249	4.77615571776156	4.02766393442623	11.8697674418605	5.63875968992248	8.31766200762389	12.3188405797101
GSM8461147_207716530127_R06C01	0.9996	11.468	11.208	6.02682522123894	82.1472392638037	42.4954462659381	34.2922077922078	28.8917995444191	1.75583560074467	1.99628359062321	7.02135922330097	5.4050822122571	9.95454545454546	4.56565656565657	5.9873079492318	2.59051436205745	4.0719696969697	2.28282828282828	4.85117493472585	3.02838063439065	13.6546052631579	5.94736842105263	8.80958904109589	11.3630214205186
GSM8461148_207716530127_R07C01	0.9994	11.333	10.983	6.63329646017699	89.5068493150685	46.339552238806	35.5730519480519	26.2596899224806	1.71748095337946	2.11017699115044	7.50207468879668	6.12881355932203	8.23687580025608	4.62996158770807	6.83630136986301	2.76164383561644	5.95818505338078	3.21708185053381	4.46582278481013	2.56149425287356	13.0749235474006	5.52905198776758	8.59506172839506	13.6322147651007
GSM8461149_207716530127_R08C01	0.9937	9.796	9.662	6.05727246952084	159.715976331361	40.8250773993808	42.2789373814042	26.0639032815199	1.71965478841871	2.3103392828429	12.2465277777778	8.92911392405063	8.97569444444444	12.2465277777778	11.4932614555256	11.2075471698113	3.6589928057554	5.07482014388489	1.92462311557789	2.11969111969112	8.88721804511278	13.2593984962406	6.06567164179104	13.2714285714286
GSM8461150_208066090025_R01C01	0.9995	11.683	10.832	3.44993819530284	132.801886792453	77.3229571984436	49.8898305084746	31.1567732115677	1.71835697083222	1.87647501883003	17.9777777777778	17.3978494623656	12.9809069212411	7.72315035799523	4.85213414634146	1.85823170731707	7.41809045226131	3.25226130653266	13.2155688622754	4.33827893175074	25.981072555205	10.2082018927445	12.0269709543568	20.8060498220641
GSM8461151_208066090025_R02C01	0.9997	11.463	11.566	3.53645032297755	112.757575757576	121.597315436242	46.9322709163347	32.6807760141093	1.69365671641791	1.89087488240828	20.7070063694268	14.4488888888889	8.89442815249267	4.76686217008798	4.4066918001885	1.68096135721018	5.90448343079922	3.16861598440546	15.68	4.74273858921162	24.4567164179104	9.7044776119403	12.0095602294455	22.531914893617
GSM8461152_208066090025_R03C01	0.9993	11.05	11.118	4.37714802532409	129.013605442177	81.6585365853659	47.0946372239748	30.8149779735683	1.68884408602151	2.0139211136891	15.5727699530516	12.5169811320755	7.51554828150573	5.42880523731588	6.82881355932203	3.11949152542373	8.6195652173913	4.006038647343	9.36879432624113	3.19323241317898	22.0990415335463	10.5974440894569	9.61389961389961	15.5461121157324
GSM8461153_208066090025_R04C01	0.9993	11.468	10.57	4.35619735258724	116.969696969697	58.6754617414248	47.1820987654321	28.8220230473752	1.68745749538521	2.00721528861154	14.9058295964126	11.3447098976109	9.77457627118644	5.63389830508475	6.11557788944724	2.71428571428571	6.43226473629783	3.43743536711479	12.0949367088608	4.17438921651222	16.3409090909091	10.7922077922078	6.81399317406143	15.0992366412214
GSM8461154_208066090025_R05C01	0.9996	11.598	11.344	4.32759141734663	135.436507936508	95.5606060606061	44.6860841423948	30.8765432098765	1.68407339051135	1.88402536305993	16.8826530612245	12.875486381323	11.5555555555556	5.17840375586854	4.75727676369018	1.79970399605328	5.81995884773663	3.40432098765432	10.7246963562753	3.94452554744526	28.5107033639144	10.1192660550459	13.1390593047035	16.1815235008104
